ANDAMAN AND NICOBAR ISLANDS,73.67
ANDHRA PRADESH,58.57
ARUNACHAL PRADESH,53.81
ASSAM,61.07
BIHAR,49.89
CHANDIGARH,76
CHHATTISGARH,55.83
DADRA AND NAGAR HAVELI,64
DAMAN AND DIU,75.5
GOA,79.5
GUJARAT,66.08
HARYANA,64.95
HIMACHAL PRADESH,72.17
JAMMU AND KASHMIR,54.59
JHARKHAND,53.54
KARNATAKA,64.67
KERALA,83.57
LAKSHADWEEP,81
MADHYA PRADESH,57.06
MAHARASHTRA,70.91
MANIPUR,65.78
MEGHALAYA,58.29
MIZORAM,74.63
NAGALAND,66
NCT OF DELHI,76.11
ORISSA,61.5
PONDICHERRY,77.5
PUNJAB,65.95
RAJASTHAN,54.15
SIKKIM,71
TAMIL NADU,70.72
TRIPURA,74.5
UTTAR PRADESH,56.58
UTTARAKHAND,68.54
WEST BENGAL,65.63
